keys,en,de,es,fr
narrative.run.start,[The descent begins once more],[Der Abstieg beginnt erneut],[El descenso comienza una vez más],[La descente recommence]
narrative.run.victory,[The ember glows with a final, steady light],[Die Glut leuchtet mit einem letzten, stetigen Licht],[La brasa brilla con una luz final y constante],[La braise brille d'une lumière finale et constante]
narrative.run.defeat,[The darkness reclaims what was lost],[Die Dunkelheit fordert zurück, was verloren war],[La oscuridad reclama lo que se perdió],[L'obscurité reprend ce qui a été perdu]
narrative.outcome.spare,[A flicker of mercy in a cold world],[Ein Flackern der Gnade in einer kalten Welt],[Un destello de misericordia en un mundo frío],[Une lueur de miséricorde dans un monde froid]
narrative.outcome.execute,[The cycle remains unbroken],[Der Kreislauf bleibt ungebrochen],[El ciclo permanece ininterrumpido],[Le cycle reste ininterrompu]
narrative.echo.biome1.1,[Vines entwine the rusted gears of the past],[Ranken umschlingen die verrosteten Zahnräder der Vergangenheit],[Las enredaderas entrelazan los engranajes oxidados del pasado],[Les vignes entrelacent les engrenages rouillés du passé]
narrative.echo.biome1.2,[Nature reclaims what steel once held],[Die Natur fordert zurück, was einst der Stahl hielt],[La naturaleza reclama lo que el acero una vez sostuvo],[La nature reprend ce que l'acier détenait autrefois]
narrative.echo.biome1.3,[The rust weeps for a world that moved on],[Der Rost weint um eine Welt, die weiterzog],[El óxido llora por un mundo que siguió adelante],[La rouille pleure pour un monde qui a tourné la page]
narrative.echo.biome2.1,[Spores drift through the stagnant air],[Sporen treiben durch die stehende Luft],[Las esporas flotan en el aire estancado],[Les spores dérivent dans l'air stagnant]
narrative.echo.biome2.2,[The fungal growth hums with a parasitic life],[Das Pilzwachstum summt mit einem parasitären Leben],[El crecimiento fúngico zumba con una vida parasitaria],[La croissance fongique bourdonne d'une vie parasitaire]
narrative.echo.biome2.3,[Mushrooms bloom in the shadow of industry],[Pilze blühen im Schatten der Industrie],[Los hongos florecen a la sombra de la industria],[Les champignons fleurissent à l'ombre de l'industrie]
narrative.echo.biome3.1,[Reflections of a thousand possibilities shimmer],[Reflexionen von tausend Möglichkeiten schimmern],[Reflejos de mil posibilidades brillan],[Des reflets de mille possibilités scintillent]
narrative.echo.biome3.2,[The crystal spires reach for a cold, distant sky],[Die Kristallspitzen greifen nach einem kalten, fernen Himmel],[Los pináculos de cristal alcanzan un cielo frío y distante],[Les pinacles de cristal s'élèvent vers un ciel froid et lointain]
narrative.echo.biome3.3,[Each facet holds a memory of the light],[Jede Facette bewahrt eine Erinnerung an das Licht],[Cada faceta guarda un recuerdo de la luz],[Chaque facette garde un souvenir de la lumière]
dialogue.stranger.intro,[Who wanders the depths today?],[Wer wandert heute in den Tiefen?],[¿Quién vaga por las profundidades hoy?],[Qui erre dans les profondeurs aujourd'hui ?]
dialogue.stranger.choice.who,[I am a seeker of truth.],[Ich bin ein Sucher der Wahrheit.],[Soy un buscador de la verdad.],[Je suis un chercheur de vérité.]
dialogue.stranger.choice.leave,[Just passing through.],[Nur auf der Durchreise.],[Solo estoy de paso.],[Je ne fais que passer.]
dialogue.stranger.truth,[Truth is a heavy burden, little ember.],[Die Wahrheit ist eine schwere Last, kleine Glut.],[La verdad es una carga pesada, pequeña brasa.],[La vérité est un lourd fardeau, petite braise.]
dialogue.stranger.farewell,[Then move swiftly. The dark is hungry.],[Dann bewege dich schnell. Die Dunkelheit ist hungrig.],[Entonces muévete rápido. La oscuridad tiene hambre.],[Alors fais vite. L'obscurité a faim.]
dialogue.banter.enemy.taunt,[You will go no further!],[Du wirst nicht weiterkommen!],[¡No llegarás más lejos!],[Tu n'iras pas plus loin !]
dialogue.banter.player.reply,[I've heard that before.],[Das habe ich schon mal gehört.],[Ya he oído eso antes.],[J'ai déjà entendu ça.]
